datetime,	activation,	dropout,	momentum,	minibatch_size,	n_epochs,	learning_rate,	optimizer,	n_layers,	units1,	units2,	units3,	units4,	units5,	units6,	training_r2,	test_r2
2018-03-27 18:12:28,	relu,	0.795570244725,	0.77495195647,	2229,	252,	0.0113122997738,	GradientDescentOptimizer,	4,	8.07062094115,	11.566188262,	13.506990716,	4.01249163379,	None,	None,	-0.127226937529,	-0.127226937529
2018-03-27 18:12:28,	relu,	0.786254713067,	0.775338093264,	5426,	255,	0.0132512941465,	GradientDescentOptimizer,	4,	8.08756121324,	11.7684001873,	10.8795177867,	4.03745726048,	None,	None,	-0.181467540557,	-0.181467540557
2018-03-27 18:12:28,	relu,	0.79419464693,	0.781794803617,	5480,	253,	0.0120056546892,	GradientDescentOptimizer,	4,	8.20753616495,	11.6427750629,	13.6288932931,	4.08174790063,	None,	None,	-0.476779497778,	-0.476779497778
2018-03-27 18:12:28,	relu,	0.798634009938,	0.77664190233,	5357,	253,	0.0113863772216,	GradientDescentOptimizer,	4,	8.12469667912,	11.4819333879,	13.6145425604,	4.0999821316,	None,	None,	-0.281536572355,	-0.281536572355
2018-03-27 18:12:28,	relu,	0.785791236713,	0.772906034406,	5582,	253,	0.0114086675023,	GradientDescentOptimizer,	4,	7.97226206123,	11.6205642485,	10.664794187,	4.06062804893,	None,	None,	-0.700560146273,	-0.700560146273
2018-03-27 18:12:28,	relu,	0.79591563056,	0.780311362148,	5578,	253,	0.0129376979995,	GradientDescentOptimizer,	4,	7.9880483868,	11.4681574257,	13.4976835187,	4.07636287093,	None,	None,	-0.372848831361,	-0.372848831361
2018-03-27 18:12:28,	relu,	0.794203786928,	0.775430199423,	3749,	253,	0.0117752559566,	GradientDescentOptimizer,	4,	8.02754588956,	11.6381344683,	12.7545177867,	4.03636949043,	None,	None,	-0.109835636888,	-0.109835636888
2018-03-27 18:12:28,	relu,	0.720338099211,	0.783077526003,	5327,	252,	0.0122412792215,	GradientDescentOptimizer,	4,	7.99399135822,	11.7249682879,	13.5756773419,	4.77131845419,	None,	None,	-0.116550171126,	-0.116550171126
2018-03-27 18:12:28,	relu,	0.689088099211,	0.778298490922,	4269,	253,	0.0122384236667,	GradientDescentOptimizer,	4,	8.13677270735,	11.7330025516,	13.4887015155,	3.94472089144,	None,	None,	-0.168884659248,	-0.168884659248
2018-03-27 18:12:28,	relu,	0.790288938965,	0.773829623632,	5551,	254,	0.0130053318498,	GradientDescentOptimizer,	4,	8.16969741271,	11.7140738539,	13.7790587161,	4.1115634971,	None,	None,	-0.972278967423,	-0.972278967423
2018-03-27 18:12:28,	relu,	0.789951118094,	0.773140979102,	5511,	253,	0.0128597780453,	GradientDescentOptimizer,	4,	8.07043381872,	11.6933645099,	10.6705971107,	3.94326985179,	None,	None,	-0.714273835019,	-0.714273835019
2018-03-27 18:12:28,	relu,	0.790535521682,	0.777833820906,	5392,	266,	0.012762040778,	GradientDescentOptimizer,	4,	8.0504557995,	11.6224461562,	13.6003158769,	3.95909465963,	None,	None,	-0.773282208597,	-0.773282208597
2018-03-27 18:12:28,	relu,	0.784839238255,	0.779713738066,	5503,	252,	0.0130441510263,	GradientDescentOptimizer,	4,	8.0476176991,	11.7147274669,	13.6753524011,	4.08771435897,	None,	None,	-0.138604868225,	-0.138604868225
2018-03-27 18:12:28,	relu,	0.787098886909,	0.774416976384,	5383,	251,	0.0130846047066,	GradientDescentOptimizer,	4,	8.16267913822,	11.7260370639,	13.4564654694,	3.97977316003,	None,	None,	-0.748407931781,	-0.748407931781
2018-03-27 18:12:28,	relu,	0.796410774688,	0.776416101387,	2538,	253,	0.0132348274633,	GradientDescentOptimizer,	4,	8.20491380464,	11.7236415774,	13.575549739,	5.24006845419,	None,	None,	-0.117519902681,	-0.117519902681
2018-03-27 18:12:28,	relu,	0.787666168022,	0.775094504294,	5386,	253,	0.0127589713294,	GradientDescentOptimizer,	4,	8.11835644028,	11.6606968083,	12.2857677867,	4.17233390649,	None,	None,	-0.88057039841,	-0.88057039841
2018-03-27 18:12:28,	relu,	0.786378698524,	0.777513032704,	5558,	253,	0.011669378178,	GradientDescentOptimizer,	4,	8.02089181562,	11.6389175269,	13.4737047949,	4.13511489612,	None,	None,	-0.981912763717,	-0.981912763717
2018-03-27 18:12:28,	relu,	0.783910560657,	0.775848908062,	5350,	254,	0.0132746270645,	GradientDescentOptimizer,	4,	8.12117532055,	11.7110644927,	13.6805008515,	4.13540888701,	None,	None,	-0.780542522214,	-0.780542522214
2018-03-27 18:12:28,	relu,	0.780474838827,	0.773614364539,	5536,	254,	0.010804212687,	GradientDescentOptimizer,	4,	8.27154036197,	11.7205074621,	11.4037995596,	3.97940965524,	None,	None,	-0.418457779958,	-0.418457779958
2018-03-27 18:12:28,	relu,	0.789314973805,	0.774902951762,	5439,	253,	0.0128264205819,	GradientDescentOptimizer,	4,	8.13982376036,	11.7796960996,	13.5795223409,	3.93937206585,	None,	None,	-0.505019702027,	-0.505019702027
2018-03-27 18:12:28,	relu,	0.795814240689,	0.774622955916,	5558,	254,	0.0113404466826,	GradientDescentOptimizer,	4,	8.1456137401,	11.7858003645,	13.6002637902,	4.14727442361,	None,	None,	-0.474260144381,	-0.474260144381
