activation, dropout, momentum, minibatch_size, n_epochs, learning_rate, optimizer, nn_structure, train_r2, test_r2
elu, None, None, 64, 6, 0.001, AdamOptimizer, 3---3, 0.18973287372040337, 0.2062450777044853
elu, None, None, 64, 7, 0.001, AdamOptimizer, 3---3, 0.19531579550355027, 0.21641765388369782
elu, None, None, 64, 7, 0.001, AdamOptimizer, 3---3, 0.2013581143161539, 0.21677792262822204
elu, None, None, 64, 8, 0.001, AdamOptimizer, 3---3, 0.20619103299903074, 0.21208836972130896
elu, None, None, 64, 8, 0.001, AdamOptimizer, 3---3, 0.21076466945293015, 0.21790494515455827
elu, None, None, 64, 9, 0.001, AdamOptimizer, 3---3, 0.21502932197559343, 0.2209603657097895
elu, None, None, 64, 0, 0.001, AdamOptimizer, 3---3---3, 0.08892479877986992, 0.2021731342651919
elu, None, None, 64, 1, 0.001, AdamOptimizer, 3---3---3, 0.12912883528839958, 0.18090553049581248
elu, None, None, 64, 1, 0.001, AdamOptimizer, 3---3---3, 0.14290368627257544, 0.18465359778626245
elu, None, None, 64, 2, 0.001, AdamOptimizer, 3---3---3, 0.15541554667641677, 0.18834415186241515
elu, None, None, 64, 3, 0.001, AdamOptimizer, 3---3---3, 0.1659530864113956, 0.16979154050516532
elu, None, None, 64, 3, 0.001, AdamOptimizer, 3---3---3, 0.17245059174020905, 0.18434556716377326
elu, None, None, 64, 4, 0.001, AdamOptimizer, 3---3---3, 0.18003432007738207, 0.17611716854984605
elu, None, None, 64, 5, 0.001, AdamOptimizer, 3---3---3, 0.18536247223373736, 0.1826766212507186
elu, None, None, 64, 5, 0.001, AdamOptimizer, 3---3---3, 0.18947306815304343, 0.20556533949897682
elu, None, None, 64, 6, 0.001, AdamOptimizer, 3---3---3, 0.1954691556753222, 0.21690941447728573
elu, None, None, 64, 7, 0.001, AdamOptimizer, 3---3---3, 0.20564304189663418, 0.21034529667613455
elu, None, None, 64, 7, 0.001, AdamOptimizer, 3---3---3, 0.21412721964243087, 0.21655790968839783
elu, None, None, 64, 8, 0.001, AdamOptimizer, 3---3---3, 0.22748000529424495, 0.21604099902708385
elu, None, None, 64, 8, 0.001, AdamOptimizer, 3---3---3, 0.23998503569064067, 0.22362777857888494
elu, None, None, 64, 9, 0.001, AdamOptimizer, 3---3---3, 0.2530485360077618, 0.23094247209181895
elu, None, None, 64, 10, 0.001, AdamOptimizer, 3---3---3, 0.2673784379116152, 0.23208467802025
elu, None, None, 64, 10, 0.001, AdamOptimizer, 3---3---3, 0.2775220473053409, 0.23335639646252793
elu, None, None, 64, 11, 0.001, AdamOptimizer, 3---3---3, 0.2847031798954951, 0.21508346993829153
elu, None, None, 64, 12, 0.001, AdamOptimizer, 3---3---3, 0.2895494093461184, 0.23362632098580471
elu, None, None, 64, 12, 0.001, AdamOptimizer, 3---3---3, 0.2946510458288364, 0.21524848494215842
elu, None, None, 64, 13, 0.001, AdamOptimizer, 3---3---3, 0.2975862581787305, 0.20214697434049922
elu, None, None, 64, 14, 0.001, AdamOptimizer, 3---3---3, 0.2996625400148759, 0.2091842019056992
elu, None, None, 64, 14, 0.001, AdamOptimizer, 3---3---3, 0.2990312715520276, 0.1853061563042695
elu, None, None, 64, 15, 0.001, AdamOptimizer, 3---3---3, 0.30247564805926863, 0.21424044238053175
elu, None, None, 64, 16, 0.001, AdamOptimizer, 3---3---3, 0.30295252815006657, 0.2119600397587128
elu, None, None, 64, 16, 0.001, AdamOptimizer, 3---3---3, 0.3043618965768067, 0.2019395534294851
