    number:    symbol:           name:     group:    period:     block:    series:            mass:    eleneg:  eleaffin:    covrad:    atmrad:    vdwrad:     tboil:     tmelt:   density:                     eleconfig:                     oxistates:                                                                                                                                                                           ionenergy:     ldauu:     ldauj:                                                                                                                                                               ldaucomment:
        40:      'Zr':    'Zirconium':         4:         5:       'd':         8:          91.224:      1.33:     0.426:      1.45:      2.16:       0.0:    4682.0:    2128.0:      6.51:                '[Kr] 4d2 5s2':                          '4*':                                                                                                                                               (6.6339, 13.13, 22.99, 34.34, 81.5, ):         2:         0:                                                                                                                                                '2, j.jallcom.2013.10.043'
        41:      'Nb':      'Niobium':         5:         5:       'd':         8:        92.90638:       1.6:     0.893:      1.34:      2.08:       0.0:    5015.0:    2742.0:      8.58:                 '[Kr] 4d4 5s':                       '5*, 3':                                                                                                                                 (6.7589, 14.32, 25.04, 38.3, 50.55, 102.6, 125.0, ):       2.7:       0.6:                                                                                                                                                            '2.7 0.6 eCAL'
        42:      'Mo':   'Molybdenum':         6:         5:       'd':         8:           95.94:      2.16:    0.7472:       1.3:      2.01:       0.0:    4912.0:    2896.0:     10.28:                 '[Kr] 4d5 5s':           '6*, 5, 4, 3, 2, 0':                                                                                                                            (7.0924, 16.15, 27.16, 46.4, 61.2, 68.0, 126.8, 153.0, ):         2:         0:                                                                                                                                  '2, j.commatsci.2014.05.013; 3 0.6 eCAL'
        43:      'Tc':   'Technetium':         7:         5:       'd':         8:       97.907216:       1.9:      0.55:      1.27:      1.95:       0.0:    4538.0:    2477.0:     11.49:                '[Kr] 4d5 5s2':                          '7*':                                                                                                                                                              (7.28, 15.26, 29.54, ):         3:         0:                                                                                                       '3, j.jmmm.2013.04.023; 3.3 0.6 eCAL; 2.5, j.commatsci.2014.05.013'
        44:      'Ru':    'Ruthenium':         8:         5:       'd':         8:          101.07:       2.2:   1.04638:      1.25:      1.89:       0.0:    4425.0:    2610.0:     12.45:                 '[Kr] 4d7 5s':      '8, 6, 4*, 3*, 2, 0, -2':                                                                                                                                                            (7.3605, 16.76, 28.47, ):         3:         0:                                                                                                                                     '3, j.jmmm.2013.04.023; 3.4 0.6 eCAL'
        45:      'Rh':      'Rhodium':         9:         5:       'd':         8:        102.9055:      2.28:   1.14289:      1.25:      1.83:       0.0:    3970.0:    2236.0:     12.41:                 '[Kr] 4d8 5s':          '5, 4, 3*, 1*, 2, 0':                                                                                                                                                            (7.4589, 18.08, 31.06, ):       3.7:       0.6:                                                                                                                                             '3 OXF-Project; 3.7 0.6 eCAL'
        46:      'Pd':    'Palladium':        10:         5:       'd':         8:          106.42:       2.2:   0.56214:      1.28:      1.79:      1.63:    3240.0:    1825.0:     12.02:                   '[Kr] 4d10':                    '4, 2*, 0':                                                                                                                                                            (8.3369, 19.43, 32.93, ):         4:         0:                                                                                                                    'ExhaustWrong; 4, j.jmmm.2013.04.023; 3.9 0.0 eCAL/MS'
        47:      'Ag':       'Silver':        11:         5:       'd':         8:        107.8682:      1.93:   1.30447:      1.34:      1.75:      1.72:    2436.0:    1235.1:     10.49:                '[Kr] 4d10 5s':                       '2, 1*':                                                                                                                                                            (7.5762, 21.49, 34.83, ):         2:         0:                                                                                                                                                                    '2 MS'
        48:      'Cd':      'Cadmium':        12:         5:       'd':         8:         112.411:      1.69:       0.0:      1.48:      1.71:      1.58:    1040.0:    594.26:      8.64:               '[Kr] 4d10 5s2':                          '2*':                                                                                                                                                           (8.9938, 16.908, 37.48, ):         2:         0:                                                                                                                                                                    '2 MS'
        49:      'In':       'Indium':        13:         5:       'p':         7:         114.818:      1.78:     0.404:      1.44:       2.0:      1.93:    2350.0:    429.78:      7.31:            '[Kr] 4d10 5s2 5p':                          '3*':                                                                                                                                                    (5.7864, 18.869, 28.03, 28.03, ):         0:         0:                                                                                                                                                                 'No data'
